                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5477,                 1.7316,                 1.6142,                0.96604,                0.96759,                0.98954,                0.77104,                0.79559,                 0.7279,                0.87345,              0.0033201,              0.0033201,              0.0033201
                      2,                  1.269,                 1.0631,                 1.3721,                0.95677,                0.96897,                0.98897,                0.76798,                0.78502,                0.67183,                0.89773,              0.0066315,              0.0066315,              0.0066315
                      3,                 1.2639,                0.97638,                 1.3709,                0.97416,                0.98807,                0.98687,                0.72797,                0.90642,                0.64499,                 0.9476,              0.0099209,              0.0099209,              0.0099209
                      4,                 1.2721,                0.93583,                 1.3843,                0.97968,                0.96419,                0.97631,                 0.7414,                0.90347,                  0.649,                0.99677,               0.009901,               0.009901,               0.009901
                      5,                 1.2206,                0.85574,                 1.3605,                0.98483,                 0.9869,                 0.9902,                0.80192,                0.70184,                 0.5399,                0.95368,               0.009868,               0.009868,               0.009868
                      6,                 1.1891,                0.79971,                 1.3452,                0.98864,                0.98483,                 0.9906,                0.79435,                 0.8049,                0.50449,                0.89575,               0.009835,               0.009835,               0.009835
                      7,                  1.153,                0.76057,                 1.3248,                0.96899,                0.98966,                0.99139,                0.83157,                0.65059,                0.54139,                0.92868,               0.009802,               0.009802,               0.009802
                      8,                 1.1402,                0.73401,                 1.3187,                0.98693,                0.98945,                0.99414,                0.83955,                 0.6333,                0.44032,                0.87927,               0.009769,               0.009769,               0.009769
                      9,                 1.1224,                0.71347,                 1.3084,                0.99031,                0.98966,                0.99396,                0.86025,                0.58748,                0.41025,                0.87256,               0.009736,               0.009736,               0.009736
                     10,                  1.104,                0.69234,                 1.3012,                0.98356,                0.99034,                0.99388,                0.84681,                0.59378,                 0.4616,                 0.8862,               0.009703,               0.009703,               0.009703
                     11,                 1.0844,                0.67066,                 1.2883,                0.99599,                0.99103,                0.99445,                0.86284,                0.56745,                0.38796,                0.89653,                0.00967,                0.00967,                0.00967
                     12,                 1.0756,                0.66468,                 1.2812,                0.99035,                 0.9905,                0.99307,                0.86426,                 0.5864,                 0.4016,                0.88828,               0.009637,               0.009637,               0.009637
                     13,                 1.0633,                0.64806,                 1.2756,                0.99036,                 0.9914,                0.99285,                0.85141,                0.59761,                0.39815,                0.86871,               0.009604,               0.009604,               0.009604
                     14,                 1.0466,                 0.6355,                 1.2677,                0.99163,                0.99172,                0.99429,                 0.8751,                0.54689,                0.38289,                0.86926,               0.009571,               0.009571,               0.009571
                     15,                 1.0378,                0.62314,                 1.2554,                0.99584,                0.99083,                0.99416,                0.86607,                0.56117,                0.37622,                 0.8848,               0.009538,               0.009538,               0.009538
                     16,                 1.0266,                0.61996,                 1.2535,                0.99446,                0.98992,                 0.9947,                 0.8726,                0.53106,                0.35129,                0.85558,               0.009505,               0.009505,               0.009505
                     17,                  1.018,                0.61107,                 1.2475,                0.99654,                0.99308,                0.99404,                0.87405,                0.53446,                 0.3585,                0.85063,               0.009472,               0.009472,               0.009472
                     18,                 1.0087,                0.60314,                 1.2467,                0.98562,                0.99258,                0.99443,                0.87889,                0.52709,                0.35476,                  0.869,               0.009439,               0.009439,               0.009439
                     19,                 1.0039,                0.59453,                 1.2432,                0.99344,                 0.9931,                0.99397,                0.88129,                 0.5377,                0.34235,                0.87579,               0.009406,               0.009406,               0.009406
                     20,                0.99804,                0.58934,                 1.2357,                0.99653,                0.98939,                0.99422,                 0.8649,                0.55713,                0.35531,                0.86239,               0.009373,               0.009373,               0.009373
                     21,                0.98871,                0.58209,                 1.2265,                0.99302,                0.98966,                0.99426,                0.85899,                0.58559,                0.37476,                0.87582,                0.00934,                0.00934,                0.00934
