                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93393,                0.55134,                 1.2045,                0.99566,                0.98966,                0.99447,                  0.891,                0.49984,                0.30994,                0.85158,              0.0033201,              0.0033201,              0.0033201
                      2,                0.92085,                0.53693,                  1.192,                0.99549,                0.99034,                0.99459,                0.88691,                0.50598,                 0.3216,                0.85123,              0.0065876,              0.0065876,              0.0065876
                      3,                0.94491,                0.54948,                 1.2051,                0.99149,                0.98759,                0.99335,                0.87372,                0.52959,                0.35873,                0.86155,               0.009789,               0.009789,               0.009789
                      4,                0.98504,                0.57879,                 1.2265,                0.99169,                0.98966,                0.99429,                0.87612,                0.56828,                0.35611,                0.88769,               0.009703,               0.009703,               0.009703
                      5,                0.97414,                0.57251,                 1.2246,                0.99184,                0.99379,                0.99318,                0.87386,                0.53242,                0.35592,                0.86597,               0.009604,               0.009604,               0.009604
                      6,                 0.9774,                0.57338,                 1.2209,                 0.9931,                0.99327,                0.99437,                0.86742,                 0.5538,                0.34472,                0.84993,               0.009505,               0.009505,               0.009505
                      7,                0.96212,                0.56374,                 1.2107,                0.99242,                0.99305,                0.99413,                0.87774,                 0.5454,                0.33411,                0.87645,               0.009406,               0.009406,               0.009406
                      8,                0.96147,                 0.5618,                 1.2162,                0.99236,                0.98584,                0.99359,                  0.877,                0.55178,                0.34112,                0.86493,               0.009307,               0.009307,               0.009307
                      9,                0.95663,                0.55817,                 1.2095,                0.99481,                0.99172,                0.99443,                0.88288,                 0.5425,                0.34655,                0.84863,               0.009208,               0.009208,               0.009208
                     10,                0.94932,                0.55326,                 1.2123,                0.98982,                0.99241,                0.99384,                0.87873,                0.52431,                0.33223,                0.85867,               0.009109,               0.009109,               0.009109
                     11,                0.94262,                0.54419,                 1.2012,                0.98505,                0.99034,                0.99247,                 0.8706,                0.54025,                0.37101,                0.88454,                0.00901,                0.00901,                0.00901
                     12,                0.93841,                0.54571,                 1.1985,                0.99565,                0.99241,                0.99409,                0.88404,                0.50812,                0.32915,                0.86843,               0.008911,               0.008911,               0.008911
                     13,                 0.9325,                0.53958,                 1.1966,                0.99335,                0.99034,                  0.994,                0.88014,                0.52622,                0.33141,                0.85192,               0.008812,               0.008812,               0.008812
                     14,                0.92375,                0.53507,                 1.1908,                0.99477,                0.98966,                0.99371,                0.88993,                0.50601,                0.32977,                0.86037,               0.008713,               0.008713,               0.008713
