                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7089,                 5.3059,                 1.3879,                      0,                      0,                      0,                      0,                 1.0928,                 5.1667,                0.99831,                3.5e-05,                3.5e-05,                3.5e-05
                      2,                 1.3228,                 5.2003,                 1.1889,                      0,                      0,                      0,                      0,                 0.9054,                 4.9759,                0.88075,             7.1782e-05,             7.1782e-05,             7.1782e-05
                      3,                 1.1543,                 5.0115,                 1.0618,                      0,                      0,                      0,                      0,                0.89039,                 4.8367,                0.85444,             0.00010782,             0.00010782,             0.00010782
                      4,                 1.0133,                 4.7634,                0.99396,                0.04497,                 0.0558,                0.03071,                0.02655,                0.79228,                 4.5698,                0.83021,             0.00014312,             0.00014312,             0.00014312
                      5,                0.97794,                 4.6251,                0.94351,                0.02789,                0.16864,                0.03106,                0.02496,                0.74245,                 4.3592,                  0.829,             0.00017767,             0.00017767,             0.00017767
                      6,                0.92056,                 4.4409,                0.93103,                0.02556,                0.28433,                0.04288,                0.03628,                0.70383,                 4.1328,                0.82975,             0.00021149,             0.00021149,             0.00021149
                      7,                0.91235,                 4.3007,                 0.9132,                0.02829,                 0.3772,                0.05154,                0.04298,                0.68214,                 3.9203,                0.83189,             0.00023515,             0.00023515,             0.00023515
                      8,                0.89783,                 4.1581,                0.90657,                0.02907,                0.42367,                0.06023,                0.05019,                0.68739,                 3.7864,                0.83961,             0.00023268,             0.00023268,             0.00023268
                      9,                0.86937,                 3.9796,                0.91341,                0.04367,                0.42773,                0.08058,                0.06777,                0.68979,                 3.6954,                0.84899,              0.0002302,              0.0002302,              0.0002302
                     10,                0.85567,                 3.8092,                0.89636,                0.04024,                0.46494,                0.09413,                0.07464,                0.68479,                 3.6014,                0.84783,             0.00022773,             0.00022773,             0.00022773
                     11,                0.85633,                 3.6856,                 0.8946,                0.03881,                0.54748,                0.11716,                 0.0949,                0.66275,                 3.4728,                0.84256,             0.00022525,             0.00022525,             0.00022525
                     12,                0.84184,                 3.4987,                0.90082,                0.70021,                0.11076,                0.16431,                0.12958,                0.67049,                 3.1703,                0.83605,             0.00022278,             0.00022278,             0.00022278
                     13,                0.81646,                 3.3789,                0.89295,                0.66651,                0.14962,                0.18655,                 0.1518,                0.63231,                 2.7666,                0.83389,              0.0002203,              0.0002203,              0.0002203
                     14,                0.82043,                  3.221,                0.89624,                0.62597,                0.21451,                 0.2038,                0.16733,                0.64868,                 2.4486,                0.83813,             0.00021782,             0.00021782,             0.00021782
