                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3872,                 5.1817,                 1.2196,                      0,                      0,                      0,                      0,                0.93536,                 4.8237,                0.88576,             8.1667e-05,             8.1667e-05,             8.1667e-05
                      2,                0.94585,                 4.5762,                0.95411,                0.02537,                0.40113,                0.03939,                0.03106,                 0.7297,                 3.9978,                0.83872,             0.00016337,             0.00016337,             0.00016337
                      3,                0.84164,                 4.0302,                0.90366,                0.03449,                0.37145,                0.07171,                 0.0574,                0.75038,                  3.894,                 0.8772,             0.00024342,             0.00024342,             0.00024342
                      4,                0.82089,                 3.5381,                0.89036,                0.63389,                0.16344,                0.16668,                0.14247,                0.60486,                 3.0381,                0.84301,             0.00024258,             0.00024258,             0.00024258
                      5,                0.79424,                 3.0356,                0.88697,                0.62888,                0.24661,                0.24615,                0.21308,                0.58585,                 2.4004,                0.84988,              0.0002401,              0.0002401,              0.0002401
                      6,                0.76144,                 2.5861,                0.88358,                0.48279,                0.34443,                0.31636,                0.27447,                0.58531,                  1.851,                0.84735,             0.00023763,             0.00023763,             0.00023763
                      7,                0.74955,                 2.2763,                0.88797,                0.57346,                0.36518,                 0.4053,                0.35129,                0.57277,                 1.6908,                0.84453,             0.00023515,             0.00023515,             0.00023515
                      8,                 0.7234,                 1.9791,                0.88355,                0.70143,                 0.3879,                0.47383,                0.41458,                 0.5543,                 1.5131,                0.83928,             0.00023268,             0.00023268,             0.00023268
                      9,                0.70505,                 1.8018,                0.88102,                0.67835,                0.45818,                0.55055,                0.48408,                0.54118,                 1.3217,                0.83568,              0.0002302,              0.0002302,              0.0002302
                     10,                0.67561,                 1.6417,                0.87837,                0.67472,                0.50152,                0.59405,                0.52277,                0.51427,                 1.1803,                0.83215,             0.00022773,             0.00022773,             0.00022773
